experiment,task_type,host_type,is_word_anchor,notes
CPS,ENCODING,ENCODING,False,
CPS,TRIAL,TRIAL,False,
CPS,WAITING,WAITING,False,
CPS,VOCALIZATION,VOCALIZATION,False,
EFRCourierOpenLoop,OBJECT_PRESENTATION_BEGINS,OBJECT_PRESENTATION_BEGINS,True,primary onset anchor
EFRCourierOpenLoop,ORIENT,ORIENT,False,
EFRCourierOpenLoop,ENCODING,ENCODING,False,
EFRCourierOpenLoop,RETRIEVAL,RETRIEVAL,False,
EFRCourierOpenLoop,TRIAL,TRIAL,False,
EFRCourierOpenLoop,OBJECT_RECALL_RECORDING_START,OBJECT_RECALL_RECORDING_START,False,
EFRCourierOpenLoop,CUED_RECALL_RECORDING_START,CUED_RECALL_RECORDING_START,False,
EFRCourierReadOnly,OBJECT_PRESENTATION_BEGINS,OBJECT_PRESENTATION_BEGINS,True,primary onset anchor
EFRCourierReadOnly,ORIENT,ORIENT,False,
EFRCourierReadOnly,ENCODING,ENCODING,False,
EFRCourierReadOnly,RETRIEVAL,RETRIEVAL,False,
EFRCourierReadOnly,TRIAL,TRIAL,False,
EFRCourierReadOnly,OBJECT_RECALL_RECORDING_START,OBJECT_RECALL_RECORDING_START,False,
EFRCourierReadOnly,CUED_RECALL_RECORDING_START,CUED_RECALL_RECORDING_START,False,
ICatFR1,WORD,WORD,True,primary onset anchor
ICatFR1,ORIENT,ORIENT,False,
ICatFR1,ENCODING,ENCODING,False,
ICatFR1,COUNTDOWN,COUNTDOWN,False,
ICatFR1,DISTRACT,DISTRACT,False,
ICatFR1,RETRIEVAL,RETRIEVAL,False,
ICatFR1,TRIAL,TRIAL,False,
ICatFR6,WORD,WORD,True,primary onset anchor
ICatFR6,ORIENT,ORIENT,False,
ICatFR6,ENCODING,ENCODING,False,
ICatFR6,COUNTDOWN,COUNTDOWN,False,
ICatFR6,DISTRACT,DISTRACT,False,
ICatFR6,RETRIEVAL,RETRIEVAL,False,
ICatFR6,TRIAL,TRIAL,False,
IFR1,WORD,WORD,True,primary onset anchor
IFR1,ORIENT,ORIENT,False,
IFR1,ENCODING,ENCODING,False,
IFR1,COUNTDOWN,COUNTDOWN,False,
IFR1,DISTRACT,DISTRACT,False,
IFR1,RETRIEVAL,RETRIEVAL,False,
IFR1,TRIAL,TRIAL,False,
IFR6,WORD,WORD,True,primary onset anchor
IFR6,ORIENT,ORIENT,False,
IFR6,ENCODING,ENCODING,False,
IFR6,COUNTDOWN,COUNTDOWN,False,
IFR6,DISTRACT,DISTRACT,False,
IFR6,RETRIEVAL,RETRIEVAL,False,
IFR6,TRIAL,TRIAL,False,
OPS,,,False,no task behavioral message stream (stim-only)
RepFR1,WORD,WORD,True,primary onset anchor
RepFR1,ISI,ISI,False,
RepFR1,RECALL,RECALL,False,
RepFR1,COUNTDOWN,COUNTDOWN,False,
RepFR1,TRIAL,TRIAL,False,
RepFR1,TRIALEND,TRIALEND,False,
RepFR1,SESSION,SESSION,False,
RepFR2,WORD,WORD,True,primary onset anchor
RepFR2,ISI,ISI,False,
RepFR2,RECALL,RECALL,False,
RepFR2,COUNTDOWN,COUNTDOWN,False,
RepFR2,TRIAL,TRIAL,False,
RepFR2,TRIALEND,TRIALEND,False,
RepFR2,SESSION,SESSION,False,
RepFR2,READY,READY,False,
catFR1,WORD,WORD,True,primary onset anchor
catFR1,ORIENT,ORIENT,False,
catFR1,ENCODING,ENCODING,False,
catFR1,COUNTDOWN,COUNTDOWN,False,
catFR1,DISTRACT,DISTRACT,False,
catFR1,RETRIEVAL,RETRIEVAL,False,
catFR1,TRIAL,TRIAL,False,
catFR1,MATH,MATH,False,
